time,flux,flux_err,tic_id,sector
1683.3520225441737,1.0023544,0.0010806585,154089169,14
1683.3534114049965,1.0016136,0.0010799849,154089169,14
1683.3548002658197,1.0002759,0.0010798349,154089169,14
1683.356189126642,1.0004627,0.001079688,154089169,14
1683.357577987464,1.0037823,0.0010811253,154089169,14
1683.358966848287,1.0019726,0.0010805016,154089169,14
1683.3603557091099,1.0018414,0.0010804377,154089169,14
1683.361744569933,1.0013468,0.0010797909,154089169,14
1683.3631334307559,1.0011047,0.001080297,154089169,14
1683.3645222915782,0.9998127,0.0010795612,154089169,14
1683.3659111524005,1.0016104,0.001079784,154089169,14
1683.3673000132233,1.0019581,0.0010802052,154089169,14
1683.3686888740465,1.0009451,0.0010794993,154089169,14
1683.3700777348693,0.9995961,0.0010791033,154089169,14
1683.371466595809,1.0001743,0.0010798959,154089169,14
1683.3728554566317,1.0009671,0.0010799773,154089169,14
1683.374244317454,1.0005957,0.0010798174,154089169,14
1683.375633178277,1.0009757,0.0010798823,154089169,14
1683.3770220391004,0.99990135,0.0010798468,154089169,14
1683.3784108999228,0.99987495,0.0010801088,154089169,14
1683.379799760745,1.0003054,0.0010793273,154089169,14
1683.3811886215683,0.99990374,0.0010793887,154089169,14
1683.382577482507,0.9996409,0.0010793806,154089169,14
1683.3839663433298,1.0020286,0.0010809953,154089169,14
1683.3853552041535,0.99972445,0.0010799313,154089169,14
1683.3867440649758,1.0004771,0.0010798479,154089169,14
1683.3881329257981,1.0014731,0.0010798034,154089169,14
1683.3895217867373,1.0000827,0.0010795329,154089169,14
1683.3909106475596,1.0006156,0.0010799628,154089169,14
1683.3922995083828,1.0014663,0.001080335,154089169,14
1683.3936883692063,1.0024133,0.0010797353,154089169,14
1683.3950772301448,1.0021542,0.0010801568,154089169,14
1683.3964660909671,0.99852324,0.0010789557,154089169,14
1683.3978549517904,0.9990096,0.0010792988,154089169,14
1683.399243812729,1.0016594,0.001080365,154089169,14
1683.4006326735519,1.0018431,0.0010801684,154089169,14
1683.4020215343755,1.0000627,0.0010795548,154089169,14
1683.4034103953143,1.0005088,0.0010798665,154089169,14
1683.4047992561366,1.0005032,0.0010798066,154089169,14
1683.4061881169594,1.0001223,0.0010793605,154089169,14
1683.4075769778995,1.0000241,0.0010792353,154089169,14
1683.4089658387227,1.000122,0.001079618,154089169,14
1683.410354699545,1.0011106,0.0010796591,154089169,14
1683.4117435604842,1.0018779,0.0010799769,154089169,14
1683.4131324213065,1.0002627,0.0010795736,154089169,14
1683.4145212822452,0.99938446,0.0010796504,154089169,14
1683.415910143069,1.0012228,0.0010803377,154089169,14
1683.417299004008,1.0008422,0.0010799688,154089169,14
1683.4186878648304,0.9987043,0.0010794735,154089169,14
1683.4200767256534,0.9976489,0.0010784429,154089169,14
1683.421465586592,1.0003375,0.0010794542,154089169,14
1683.4228544474142,1.0007925,0.0010800739,154089169,14
1683.4242433083543,1.0005782,0.0010797258,154089169,14
1683.4256321691776,1.002449,0.0010802334,154089169,14
1683.4270210301163,1.0006232,0.0010798187,154089169,14
1683.428409890939,0.9989354,0.0010787077,154089169,14
1683.4297987518778,1.0012078,0.0010803781,154089169,14
1683.431187612817,1.0013378,0.0010803192,154089169,14
1683.4325764736407,1.001224,0.0010793656,154089169,14
1683.4339653345794,1.001966,0.0010798019,154089169,14
1683.4353541954017,0.9996653,0.001079066,154089169,14
1683.4367430563414,0.99996084,0.0010798734,154089169,14
1683.4381319171641,1.0004727,0.001079807,154089169,14
1683.4395207781033,1.0001904,0.0010794752,154089169,14
1683.440909639043,1.0008677,0.0010798456,154089169,14
1683.4422984998657,0.9995846,0.0010800561,154089169,14
1683.4436873608045,0.99932975,0.001079608,154089169,14
1683.4450762217432,1.0008093,0.0010802047,154089169,14
1683.4464650825662,0.9997726,0.0010797568,154089169,14
1683.4478539435056,0.9988904,0.0010791342,154089169,14
1683.4492428044448,1.0007608,0.001079827,154089169,14
1683.450631665268,1.0022577,0.0010805258,154089169,14
1683.4520205262068,0.99980867,0.0010791593,154089169,14
1683.4534093871455,1.0005333,0.0010797408,154089169,14
1683.4547982480847,0.9998829,0.0010801452,154089169,14
1683.4561871089074,0.99968076,0.0010791932,154089169,14
1683.457575969847,0.9996583,0.0010797731,154089169,14
1683.4589648307863,0.99968684,0.0010793613,154089169,14
1683.460353691725,0.99988693,0.001079404,154089169,14
1683.4617425525473,1.000907,0.0010800202,154089169,14
1683.4631314134874,1.000581,0.0010796617,154089169,14
